"iso_a3","nLCPs","totalLCP_length_km","minLCP_length_km","medianLCP_length_km","maxLCP_length_km","minLCP_pct_protected","medianLCP_pct_protected","maxLCP_pct_protected","minLCP_nPAs","medianLCP_nPAs","maxLCP_nPAs","minLCP_nKBAs","medianLCP_nKBAs","maxLCP_nKBAs","minLCP_biomass","medianLCP_biomass","maxLCP_biomass","minLCP_elev_range","medianLCP_elev_range","maxLCP_elev_range","min_endnode_elev_range","median_endnode_elev_range","max_endnode_elev_range","min_endnode_area","median_endnode_area","max_endnode_area","nEndnodes","minLCP_nCountries","medianLCP_nCountries","maxLCP_nCountries"
"BLZ",199,87593.1007107864,184.683494639732,367.353213983895,913.092989301925,29.4835879238072,50.2279191819223,67.6044709638078,7,15,24,4,6,12,63.7566657431624,73.0629003416679,80.4724883120111,1606,2033.32922363281,2452,440,895.766967773438,1763,5,15.1,753.9,11,2,3,4
"CRI",317,30125.5805312538,11.1278637377463,81.1834969125196,290.984944032364,3.21496556694033,34.9397008012123,100,1,4,11,1,3,7,41.9894573938279,78.0626121137127,110.819960869683,1079.61639404297,1818,3367,463.873168945312,1045,2632.32788085938,5,35.2,4712.9,21,1,1,2
"GTM",343,61697.8654381339,17.088519558515,163.529242167307,457.211485100972,1.22196622777724,37.6867384474679,100,1,6,14,0,3,8,23.3100024971188,69.4948275214747,92.0707646420127,1447,1771,3523,258,616,3004,5,10.9,753.9,39,1,2,3
"HND",251,43458.293314485,6.20921706944996,141.057476396762,532.049168538788,5.25547676030346,48.0014108110468,100,1,3,21,0,2,10,29.6209865452063,67.6724573895822,89.302502481561,1192.49340820312,1904.43603420258,2629,232,878,1439,5,15.1,132.4,25,1,1,3
"NIC",145,37484.2574417299,104.49154843224,247.083230166481,510.12367622445,4.36835318996533,29.4963748218185,87.1535382668779,2,6,12,0,3,8,38.2227089564785,64.887726877865,97.1616746451467,1205,1640,2556,232,513.316040039062,1706.53637695312,5,5,173.4,15,1,2,2
"PAN",262,43281.4338658587,15.1247404433655,172.1176869368,401.42525511525,3.94657230871029,63.7095644234752,100,1,4,11,1,3,9,41.9090011040356,82.3132300904045,112.089957786329,1164.74108886719,1616,3305.53496932983,391,459.3896484375,2632.32788085938,5,6.7,4712.9,13,1,1,2
"SLV",64,6586.6206091623,30.2716889486058,103.885290776019,200.259825445379,1.71869367556379,9.46027972563639,44.1197701459612,1,3,10,0,2,5,30.3188796113519,47.8183879875948,77.4281993103027,1383,1835.35415649414,2311.68142318726,262.784545898438,669,1332,5,8.4,120.6,15,1,2,3
