"area","are_km2","endID","mean_m","min_m","max_m","range_m"
15916466.4,15.9,"H0274",1571.21657348,1307.59362792969,1882,574.406372070312
6701670.1,6.7,"H0275",1700.2403200107,1276,2077,801
10890213.9,10.9,"H0276",2064.22175803113,1735,2282,547
34346059.1,34.3,"H0277",1847.57344038305,1317,2580,1263
242935540.2,242.9,"H0278",2040.83080061229,1214,3373,2159
7539378.8,7.5,"H0279",2068.25022327176,1692,2345,653
5026252.6,5,"H0280",1645.55916844928,1453,1835,382
9214796.4,9.2,"H0281",1598.68603676244,1448,1877.5224609375,429.5224609375
39372311.7,39.4,"H0282",1996.79721075587,1282,2704,1422
8377087.6,8.4,"H0283",1875.7276416255,1542.43566894531,2203,660.564331054688
5863961.3,5.9,"H0284",1936.74493838944,1551.24658203125,2273,721.75341796875
5026252.6,5,"H0285",1625.37420968518,1315.60717773438,1789,473.392822265625
50262525.6,50.3,"H0286",1683.26357069605,1261,2148.60546875,887.60546875
76231497.1,76.2,"H0287",1810.86729370586,1294,2116,822
12565631.4,12.6,"H0288",2211.26036971243,1749.97473144531,2494,744.025268554688
8377087.6,8.4,"H0289",1683.51624876721,1398.12438964844,1869,470.875610351562
15916466.4,15.9,"H0290",1687.55443022483,1307,2041,734
10052505.1,10.1,"H0291",1762.13085124343,1460,2126,666
16754175.2,16.8,"H0292",1821.10752564356,1472,2135,663
5026252.6,5,"H0293",2103.88516045242,1642.546875,2483.0673828125,840.5205078125
7539378.8,7.5,"H0294",2318.28801516269,2006,2652,646
8377087.6,8.4,"H0295",1709.69848874422,1464,1878,414
51937943.1,51.9,"H0296",2028.00017834738,1533,2576,1043
160840081.8,160.8,"H0297",2218.77017211761,1335,3929,2594
64503574.5,64.5,"H0298",2157.57002572705,1348,3696,2348
12565631.4,12.6,"H0299",1658.97133525774,1413,1816,403
20105010.2,20.1,"H0300",1810.52697076291,1321,2239,918
5863961.3,5.9,"H0301",1762.61200125558,1403,2238,835
22618136.5,22.6,"H0302",1585.12847982578,1407,1758.19494628906,351.194946289062
5026252.6,5,"H0303",1598.26647248815,1482,1693,211
9214796.4,9.2,"H0304",2148.04188165838,1766,2411,645
6701670.1,6.7,"H0305",1566.86451165992,1405,1705,300
173405713.2,173.4,"H0306",2090.06103500198,1231.60485839844,2787,1555.39514160156
11727922.6,11.7,"H0307",1995.81776843601,1589.12927246094,2170,580.870727539062
36859185.4,36.9,"H0308",1817.96138016438,1446,2179,733
9214796.4,9.2,"H0309",2054.44883353855,1467.25415039062,2486,1018.74584960938
5863961.3,5.9,"H0310",1510.26015845405,1353,1645,292
7539378.8,7.5,"H0311",2033.95053764012,1651,2225,574
42723146.7,42.7,"H0312",2003.39415201761,1393,2341,948
5026252.6,5,"H0313",1560.68739705404,1141,1679,538
5863961.3,5.9,"H0314",1727.54277871622,1399.58520507812,1955,555.414794921875
6701670.1,6.7,"H0315",2208.88690200254,2004,2313,309
82095458.4,82.1,"H0316",1848.8555905686,1183.31091308594,2343,1159.68908691406
10052505.1,10.1,"H0317",1852.3789560787,1362,2233,871
10890213.9,10.9,"H0318",1961.24047162099,1648,2149,501
5026252.6,5,"H0319",2075.10021012345,1708.83715820312,2337,628.162841796875
5863961.3,5.9,"H0320",1597.53947041829,1400.56945800781,1801,400.430541992188
25131262.8,25.1,"H0321",1650.90822827674,1281,2113,832
19267301.5,19.3,"H0322",1602.44983080884,1349.26586914062,1834.95935058594,485.693481445312
120630061.4,120.6,"H0323",1810.57174541112,1287,2353,1066
5863961.3,5.9,"H0324",1620.47976375214,1367.86279296875,1852,484.13720703125
15916466.4,15.9,"H0325",2087.1414365393,1465.31774902344,2441,975.682250976562
31832932.9,31.8,"H0326",1792.37966086364,1447,2087,640
6701670.1,6.7,"H0327",1805.87349588785,1350,2083,733
6701670.1,6.7,"H0328",1586.10644962962,1366,1749,383
22618136.5,22.6,"H0329",2084.72761086857,1733,2368,635
69529827,69.5,"H0330",1944.82532098362,1350,2682,1332
6701670.1,6.7,"H0331",1601.18447206762,1276,1841,565
7539378.8,7.5,"H0332",1737.28119351001,1584,1846.78454589844,262.784545898438
8377087.6,8.4,"H0333",1610.28782257987,1274,1877,603
45236273,45.2,"H0334",1768.51000303872,1241.75634765625,2159,917.24365234375
25131262.8,25.1,"H0335",1715.72762250297,1450,1904,454
10890213.9,10.9,"H0336",1606.87363206703,1276,1878,602
48587108,48.6,"H0337",1906.19446269814,1294,2295,1001
10052505.1,10.1,"H0338",1886.63820918914,1666,2166,500
69529827,69.5,"H0339",1711.36300314432,1347,2225,878
5026252.6,5,"H0340",1571.97843811035,1325.26867675781,1757,431.731323242188
12565631.4,12.6,"H0341",1649.78562939793,1322,1991,669
24293554,24.3,"H0342",1827.78973296844,1325,2343,1018
9214796.4,9.2,"H0343",1698.52437482561,1435,1899,464
5026252.6,5,"H0344",1676.76193150112,1352.02502441406,1961,608.974975585938
61990448.2,62,"H0345",1647.07585369769,1240.40979003906,2025,784.590209960938
8377087.6,8.4,"H0346",1708.23291203425,1242,2068,826
5026252.6,5,"H0347",1533.82077756788,1342.91564941406,1674,331.084350585938
5026252.6,5,"H0348",1542.24792861343,1414,1646,232
15916466.4,15.9,"H0349",1620.21680279167,1324.68395996094,1838,513.316040039062
5026252.6,5,"H0350",1583.10392766233,1282,1889,607
35183767.9,35.2,"H0351",1610.1032705049,1292.94958496094,1809,516.050415039062
29319806.6,29.3,"H0352",1612.85233024464,1161,1785,624
169217169.4,169.2,"H0353",1929.9062870959,1178.58154296875,2670,1491.41845703125
173405713.2,173.4,"H0354",1920.10689492615,1157.46362304688,2864,1706.53637695312
228694491.3,228.7,"H0355",2060.30790335638,1093,3378,2285
10890213.9,10.9,"H0356",2013.11149674527,1623,2357,734
5026252.6,5,"H0357",1536.27655171712,1223,1699,476
18429592.7,18.4,"H0358",1643.51503556709,1306,1941,635
14241048.9,14.2,"H0359",1594.94602664661,1300,1838,538
65341283.2,65.3,"H0360",1730.34595280053,1198,2151,953
18429592.7,18.4,"H0361",1915.20987042423,1370,2415,1045
9214796.4,9.2,"H0362",2244.0737157771,1848,2574,726
8377087.6,8.4,"H0363",1738.33883502667,1044,2095,1051
8377087.6,8.4,"H0364",1852.44198117724,1446,2145,699
10890213.9,10.9,"H0365",1641.25978238689,1357.36083984375,1892,534.63916015625
12565631.4,12.6,"H0366",1592.3843100554,1288,1834,546
7539378.8,7.5,"H0367",1662.0865564761,1416,2235,819
8377087.6,8.4,"H0368",1665.87568697788,1409.12683105469,1873,463.873168945312
4712949480.7,4712.9,"H0369",2184.0842416511,1096.67211914062,3729,2632.32788085938
92147963.5,92.1,"H0370",1723.98115327897,1258,2203,945
121467770.1,121.5,"H0371",1847.31869317551,1159,2454,1295
5863961.3,5.9,"H0372",1628.43194128585,1367.6103515625,1827,459.3896484375
5863961.3,5.9,"H0373",1543.63475057524,1121,1685,564
17591883.9,17.6,"H0374",1680.24853974578,1298.21105957031,1980,681.788940429688
5026252.6,5,"H0375",1564.45023350869,1328,1719,391
5026252.6,5,"H0376",1558.25799743652,1282,1717.50402832031,435.504028320312
10890213.9,10.9,"H0377",1553.47533656529,1295.88952636719,1715,419.110473632812
138221945.3,138.2,"H0378",1677.58261513892,1260,2166,906
21780427.7,21.8,"H0379",1834.52283783683,1363,2180,817
6701670.1,6.7,"H0380",1539.14122961573,1154,1648,494
10052505.1,10.1,"H0381",1558.81306311103,1267,1749,482
22618136.5,22.6,"H0382",1608.86578798413,1320,1789,469
46073981.8,46.1,"H0383",1675.12714824089,1306.11364746094,2213,906.886352539062
5863961.3,5.9,"H0384",1569.62213338216,1262,1728,466
5026252.6,5,"H0385",1545.40904422883,1344.70092773438,1719,374.299072265625
6701670.1,6.7,"H0386",1545.00721405774,1211.84057617188,1675,463.159423828125
20942719,20.9,"H0387",1653.88823381106,1392.92004394531,1964,571.079956054688
6701670.1,6.7,"H0388",1599.99490275555,1220,1805,585
7539378.8,7.5,"H0389",1524.00636898502,1122.26940917969,1692,569.730590820312
7539378.8,7.5,"H0390",1577.70157895296,1332,1718,386
6701670.1,6.7,"H0391",1505.90368972778,1307.91198730469,1605,297.088012695312
6701670.1,6.7,"H0392",1507.67573196976,1064,1803,739
5863961.3,5.9,"H0393",1569.90320898951,1287,1696,409
13403340.2,13.4,"H0394",1584.52863010313,1159,1835,676
172568004.4,172.6,"H0395",1829.76652364087,1059.27111816406,2276,1216.72888183594
10890213.9,10.9,"H0396",1679.32275528298,1395.97631835938,1958,562.023681640625
9214796.4,9.2,"H0397",1746.00923151384,1370,2069,699
7539378.8,7.5,"H0398",1639.14386657044,1222,1958,736
13403340.2,13.4,"H0399",1588.56400109039,1362,1723,361
14241048.9,14.2,"H0400",1564.42125892857,1277,1769,492
5026252.6,5,"H0401",1800.89621520996,1519.51403808594,2094,574.485961914062
6701670.1,6.7,"H0402",1668.26127960205,1164,1983,819
38534602.9,38.5,"H0403",1827.29294196228,1256,2339,1083
5026252.6,5,"H0404",2041.30736796061,1890.11193847656,2217.04541015625,326.933471679688
143248197.9,143.2,"H0405",1644.1226575359,1238,2022,784
5863961.3,5.9,"H0406",2065.67061241998,1896,2264,368
11727922.6,11.7,"H0407",1647.16442461347,1501,1811.97192382812,310.971923828125
642522618.5,642.5,"H0408",2185.30863469629,1009,2959,1950
87959419.7,88,"H0409",1748.39651154415,1288,2069,781
5863961.3,5.9,"H0410",2599.71013590495,2486,2682,196
16754175.2,16.8,"H0411",2766.00060793491,2544,2919,375
31832932.9,31.8,"H0412",1636.72350815568,1315,1913,598
214453442.4,214.5,"H0413",1669.28128888718,1003,2028,1025
6701670.1,6.7,"H0414",1535.08243835449,1396,1602,206
31832932.9,31.8,"H0415",2684.10666897802,2605,2795,190
