"crrdr_d","ID","endID","all_pa_area_sqkm","all_pa_pct_overlap","nPAs","LCP_length_km","nKBAs"
"CORR0067","Cayos Miskitos y Franja Costera Inmediata","H0156",25657.9454503361,35.884948669449,4,359.4480220304,3
"CORR0068","Cayos Miskitos y Franja Costera Inmediata","H0241",33595.5931238931,50.0263331889932,5,337.929895431864,5
"CORR0069","Cayos Miskitos y Franja Costera Inmediata","H0242",34354.3359128588,50.5846399652117,5,341.81573182811,5
"CORR0070","Cayos Miskitos y Franja Costera Inmediata","H0262",37383.4184455499,52.6945288506631,5,357.117020755137,5
"CORR0071","Río Dulce","H0216",12091.421843994,51.4409663536612,5,119.890868487189,3
"CORR0072","Río Dulce","H0216",12483.2076287038,52.2370731864377,5,121.886054544636,3
"CORR0073","Río Dulce","H0176",7950.0638936632,37.6867384474679,5,107.793008361987,3
"CORR0074","Río Dulce","H0135",11504.0219025178,56.8080732438837,4,103.210176911507,3
"CORR0075","Río Dulce","H0220",11400.1620577807,44.8171805583027,9,130.021139196211,3
"CORR0076","Tikal","H0124",33276.2893938804,45.998562782805,8,370.54363360427,5
"CORR0077","Tikal","H0145",35042.5760553385,53.6791347755982,9,334.01515490574,5
"CORR0078","Tikal","H0134",33276.2893938804,44.6754972738532,8,381.589169685242,5
"CORR0079","Tikal","H0176",37941.3493133903,60.386114734571,10,321.55165089879,5
"CORR0080","Tikal","H0148",33276.2893938804,46.8589689274132,8,363.603320248592,5
"CORR0081","Cerro Miramundo","H0215",204.105729317516,1.95577919839227,1,53.4415657847146,1
"CORR0082","Cerro Miramundo","H0215",204.105729317516,2.02053435439097,1,51.727463929579,1
"CORR0083","Cerro Miramundo","H0220",687.119888953334,6.61774733850087,4,53.1615975937368,1
"CORR0084","Cerro Miramundo","H0220",204.105729317516,1.65209988883989,1,63.2696602408845,1
"CORR0085","Cerro Miramundo","H0176",204.602183689572,1.72796526005117,2,60.5763631178709,1
"CORR0086","Santa Rosa","H0349",9066.51134093134,90.3242909688535,4,50.396287705707,2
"CORR0087","Santa Rosa","H0350",12549.7157636339,78.8928662253354,5,80.0824841764818,2
"CORR0088","Santa Rosa","H0351",22195.9816752918,70.2264796598867,10,159.250818992346,3
"CORR0089","Santa Rosa","H0352",24299.7414720935,72.0845684006908,10,169.800810854321,3
"CORR0090","Santa Rosa","H0353",23626.0069486601,57.3797423968918,11,207.42445144247,4
"CORR0091","Altos de Campana","H0373",12099.4464070495,47.0990124876469,3,128.830178201343,4
"CORR0092","Altos de Campana","H0377",24048.0567378897,64.8906135652923,4,185.766109614926,3
"CORR0093","Altos de Campana","H0377",24048.0567378897,64.4688001092628,4,186.968963779914,3
"CORR0094","Altos de Campana","H0372",25008.8733675362,62.8955191464699,4,199.54824293133,3
"CORR0095","Altos de Campana","H0375",25008.8733675362,62.0671528813978,4,202.184114749142,3
"CORR0096","Sipacate - Naranjo","H0331",2241.75212964124,10.6016003647444,3,109.396532174778,0
"CORR0097","Sipacate - Naranjo","H0333",2326.23870416288,11.2476331966495,4,107.035239968551,0
"CORR0098","Sipacate - Naranjo","H0298",3582.34942967697,12.1500090533931,4,152.321745062483,1
"CORR0099","Sipacate - Naranjo","H0297",4750.23792298301,14.8397034785619,10,165.296959026614,1
"CORR0100","Sipacate - Naranjo","H0297",4258.55139768707,13.448330904995,7,163.529242167307,1
"CORR0101","Tortuguero","H0355",4709.67622321201,36.2636711253741,3,65.1836346528924,2
"CORR0102","Tortuguero","H0355",8036.67450798515,48.9607335402841,3,82.4579015754942,2
"CORR0103","Tortuguero","H0355",8509.21343174859,50.3889292520859,3,84.8571053147449,2
"CORR0104","Tortuguero","H0357",6815.06963036766,33.1429265029731,4,103.063457091778,6
"CORR0105","Tortuguero","H0354",11867.2426240871,52.7109085262256,6,113.077761179064,2
"CORR0106","Cahuita","H0366",3968.53504363212,37.2073702508914,2,53.3408403670974,3
"CORR0107","Cahuita","H0369",689.008586416951,6.72953299689686,2,51.2081333703437,4
"CORR0108","Cahuita","H0360",3157.68845713825,26.1013394107994,3,60.5920665890202,4
"CORR0109","Cahuita","H0369",3037.97445788413,27.4385520990452,2,55.3972620307752,4
"CORR0110","Cahuita","H0369",6895.38125784751,50.7280471737521,2,68.0512482369034,3
"CORR0111","Manuel Antonio","H0369",3106.47411431006,55.2532009013069,2,28.1275510487624,4
"CORR0112","Manuel Antonio","H0363",363.134788779972,4.28591762629936,1,42.3906411243488,4
"CORR0113","Manuel Antonio","H0365",2211.84229905946,31.372526406031,2,35.3343611469355,4
"CORR0114","Manuel Antonio","H0369",4586.45139629383,57.4882896106268,2,39.9757339139499,4
"CORR0115","Manuel Antonio","H0361",363.134788779972,3.36051034123381,1,54.121279089437,4
"CORR0116","Rincon de la Vieja","H0349",2434.41635631825,71.9288031971155,1,16.917359654244,1
"CORR0117","Rincon de la Vieja","H0350",4282.30785225854,66.2141731316878,3,32.4396131886868,1
"CORR0118","Rincon de la Vieja","H0351",13904.7429300177,62.7965565710558,8,111.456301872458,2
"CORR0119","Rincon de la Vieja","H0352",16008.5026955655,66.0245576598394,8,122.006293734432,2
"CORR0120","Rincon de la Vieja","H0353",15335.2294871196,48.3585404410302,9,159.629934322579,3
"CORR0121","Barra Honda","H0351",4068.67626636434,19.2665770547888,5,106.467220717506,2
"CORR0122","Barra Honda","H0350",2540.05284590231,15.2148302037645,4,84.021935576898,2
"CORR0123","Barra Honda","H0352",5373.05564885635,23.9335091688905,7,113.169287716258,2
"CORR0124","Barra Honda","H0349",2300.47377027421,8.67662234879125,3,133.726616807765,3
"CORR0125","Barra Honda","H0353",8157.15916992407,24.3581942443912,8,168.791786922508,3
"CORR0126","Los Katios","H0382",9450.17319705104,100,2,47.4154017896554,2
"CORR0127","Los Katios","H0386",14262.5973375899,92.6683943562005,4,77.3458869410516,2
"CORR0128","Los Katios","H0380",13216.0018610617,100,2,66.457385571564,2
"CORR0129","Los Katios","H0390",3809.47993308215,10.299846689541,2,186.944523695373,2
"CORR0130","Los Katios","H0398",2954.14863399812,8.44041451621705,1,177.003810651466,1
"CORR0131","Las Orquideas","H0510",3394.31535465895,99.3526972671318,2,17.1042230296636,3
"CORR0132","Las Orquideas","H0510",3849.48008028454,94.6035911485649,2,20.378086318145,2
"CORR0133","Las Orquideas","H0510",4734.73849753515,96.4152643147232,3,24.8092716365319,3
"CORR0134","Las Orquideas","H0510",6658.30294081153,99.9982093579447,2,33.6359627629489,3
"CORR0135","Las Orquideas","H0439",4006.75651780353,56.9953347368927,2,35.3132690963941,3
"CORR0136","Corcovado","H0369",11152.8842246281,49.5395448999906,5,113.19800036886,5
"CORR0137","Corcovado","H0367",9583.98443528514,40.8718889557085,4,117.729448837835,5
"CORR0138","Corcovado","H0369",9646.74770125866,39.1400696052617,6,123.76592772465,6
"CORR0139","Corcovado","H0368",9583.98443528514,43.2630850858233,4,111.226138384621,5
"CORR0140","Corcovado","H0369",10710.9251040899,43.5776726234459,4,123.68136804521,5
"CORR0141","Portobelo","H0373",22746.9062238342,57.8860205127019,7,196.792785668027,5
"CORR0142","Portobelo","H0377",33566.7408962411,68.6448483592778,7,245.201970185379,4
"CORR0143","Portobelo","H0377",33566.7408962411,68.3061388133039,7,246.404824350367,4
"CORR0144","Portobelo","H0372",33857.3644012345,65.6601645850512,7,258.680811237597,4
"CORR0145","Portobelo","H0375",33857.3644012345,64.9912987198906,7,261.31668305541,4
"CORR0146","Volcan Tenorio","H0350",4684.69761690901,76.8678364750561,2,30.5202501972869,1
"CORR0147","Volcan Tenorio","H0351",6139.0486151796,57.7328883356507,5,53.433482915626,2
"CORR0148","Volcan Tenorio","H0349",8677.08032067031,70.4681663461242,3,61.9297474036204,1
"CORR0149","Volcan Tenorio","H0352",8242.80838072742,64.7139432443732,5,63.9834747776007,2
"CORR0150","Volcan Tenorio","H0353",7571.7079628135,37.4749668785038,6,101.607115365746,3
"CORR0151","Los Corales del Rosario y San Bernardo","H0381",25371.0766373906,15.984797510016,5,804.61106875475,5
"CORR0152","Los Corales del Rosario y San Bernardo","H0380",22983.5056910239,19.8085384445236,10,587.496043795425,3
"CORR0153","Los Corales del Rosario y San Bernardo","H0383",25371.0766373906,16.3696120509415,5,785.670926401791,5
"CORR0154","Los Corales del Rosario y San Bernardo","H0382",19947.826342474,17.6297272107284,10,573.034197174302,3
"CORR0155","Los Corales del Rosario y San Bernardo","H0388",24168.3011550285,22.1995674830731,5,551.756086688328,3
"CORR0156","Paramillo","H0388",9472.18081231264,86.6045425138375,1,55.2444998873494,1
"CORR0157","Paramillo","H0389",6757.88578345959,82.6953198052107,1,41.1498754263377,1
"CORR0158","Paramillo","H0394",7800.19694118691,92.5246782033025,1,42.4393298161579,1
"CORR0159","Paramillo","H0392",9266.66476755432,89.4197323696768,1,52.3118403960773,1
"CORR0160","Paramillo","H0425",11191.31966559,100,1,56.5664772308001,1
"CORR0161","Braulio Carrillo","H0355",6384.18549879342,68.4286924744256,2,46.7563182684448,1
"CORR0162","Braulio Carrillo","H0355",10491.3339473858,98.468546328746,3,53.4491863867748,1
"CORR0163","Braulio Carrillo","H0354",6278.53466355576,98.8817974611703,3,31.8016217180177,1
"CORR0164","Braulio Carrillo","H0353",4839.60461026356,74.9196231239185,5,32.3296888906469,1
"CORR0165","Braulio Carrillo","H0355",8805.91222102757,74.934892961054,2,58.9196865679376,1
"CORR0166","Volcán Masaya","H0348",10418.7599861251,21.999710828202,6,240.015057018945,3
"CORR0167","Volcán Masaya","H0349",7463.73969841727,18.751529295184,4,200.838813332481,2
"CORR0168","Volcán Masaya","H0350",2078.57130054786,4.36835318996533,3,240.059010875664,1
"CORR0169","Volcán Masaya","H0347",10086.2298720637,16.0119962369162,8,318.926093972731,5
"CORR0170","Volcán Masaya","H0345",11378.6378226375,18.6522172617135,6,309.395903201356,3
"CORR0171","El Rosario","H0124",12425.0004521512,31.5586543376806,4,202.678542956807,4
"CORR0172","El Rosario","H0134",12705.3418077619,32.0417100192362,5,204.164059602469,4
"CORR0173","El Rosario","H0145",12724.4234728568,26.8940735214256,6,243.623157246883,5
"CORR0174","El Rosario","H0148",12425.0004521512,28.5309395853009,4,224.195553544013,5
