ID,endID,crrdr_d,focal_pa_area_sqkm,focal_pa_pct_overlap,nPAs,LCP_length_km,nKBAs,biomass_mean,biomass_min,biomass_max,mean_m,min_m,max_m,range_m,nCountries,Countries,name,iso_a3,are_km2,endnode_elevrange_m,StartNode_areakm2,StartNode_elevrange_m
El Higuerito,H0176,CORR1104,8715.014923,37.77886919,7,117.8631595,3,76.36394775,16.17236519,126.2290726,263.3786525,3,1609,1606,1,GTM,Guatemala,GTM,5,581,5.095039811,225
El Higuerito,H0216,CORR1102,7964.220972,41.4314381,5,97.95144246,3,61.78758809,10.05439663,97.90441132,708.4481077,28,2140.258057,2112.258057,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,5.095039811,225
Santa Ana,H0003,CORR2018,0,0,0,68.11136783,1,60.6109677,24.55514336,112.3816147,865.4929306,22,2133,2111,1,MEX,Mexico,MEX,5,640,5.106759453,22.97117233
Santa Ana,H0004,CORR2017,0,0,0,59.4049159,1,60.02105771,27.58371735,97.5549469,808.9612276,22,2082,2060,1,MEX,Mexico,MEX,86.3,999,5.106759453,22.97117233
Santa Ana,H0001,CORR2016,0,0,0,51.43606484,1,68.18749323,27.58371735,115.256813,805.8819964,22,2293,2271,1,MEX,Mexico,MEX,5,451,5.106759453,22.97117233
Santa Ana,H0006,CORR2020,0,0,0,79.79916795,1,70.18079932,16.46546936,119.5434494,1195.057399,22,2317,2295,1,MEX,Mexico,MEX,52.8,923.3167725,5.106759453,22.97117233
Santa Ana,H0006,CORR2019,0,0,0,72.85773858,1,70.01983122,25.96012878,119.5434494,1160.345134,22,2317,2295,1,MEX,Mexico,MEX,52.8,923.3167725,5.106759453,22.97117233
Penon de La Honda,H0372,CORR0669,20775.47385,44.37206735,7,235.39543,3,56.5053503,0.025020823,136.7779083,459.0566572,1,1813,1812,1,PAN,Panama,PAN,5.9,459.3896484,5.151666962,13
Penon de La Honda,H0375,CORR0670,20775.47385,44.08308345,7,236.9513812,3,56.72620931,0.025020823,136.7779083,455.394964,1,1719,1718,1,PAN,Panama,PAN,5,391,5.151666962,13
Penon de La Honda,H0377,CORR0668,20775.47385,47.23763374,7,221.1296457,3,54.01685865,0.025020823,136.7779083,389.6710303,1,1617,1616,1,PAN,Panama,PAN,10.9,419.1104736,5.151666962,13
Penon de La Honda,H0373,CORR0666,12905.80611,38.44508521,7,168.8476339,3,41.9090011,0.025020823,120.4606781,264.1580623,1,1594.310791,1593.310791,1,PAN,Panama,PAN,5.9,564,5.151666962,13
Penon de La Honda,H0377,CORR0667,20775.47385,47.49950949,7,219.9267915,3,53.75572921,0.025020823,136.7779083,384.4365195,1,1607.741089,1606.741089,1,PAN,Panama,PAN,10.9,419.1104736,5.151666962,13
Quebrada Azul,H0216,CORR1156,12263.05106,51.44833878,11,121.5199484,3,61.86441799,10.05439663,98.54673004,546.5525796,1,2164,2163,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,5.164574252,98
Quebrada Azul,H0216,CORR1157,12654.8367,52.23347493,11,123.5151345,3,62.10791468,10.05439663,98.54673004,567.8788364,1,2140.258057,2139.258057,2,"GTM, HND",Guatemala,GTM,15.1,824.4211426,5.164574252,98
Quebrada Azul,H0176,CORR1158,5501.496316,29.49367709,7,95.2765431,3,78.32729353,18.87491226,126.2290726,300.7561635,3,1609,1606,1,GTM,Guatemala,GTM,5,581,5.164574252,98
Quebrada Azul,H0135,CORR1159,13587.78579,60.69585953,9,114.1105715,3,67.64988934,7.277805328,107.2269897,346.7938874,3,2007,2004,2,"GTM, HND",Guatemala,GTM,36,911.2108154,5.164574252,98
Quebrada Azul,H0220,CORR1160,8932.47643,38.84521254,11,117.5046739,3,79.01259314,18.87491226,126.2290726,479.1641697,3,1750,1747,1,GTM,Guatemala,GTM,753.9,1763,5.164574252,98
Dona Chanita Flor de la Pasion,H0145,CORR1093,749.1892357,2.932256526,2,131.2098682,3,59.099681,10.64366436,102.8488541,642.1773028,128.7023926,2463,2334.297607,1,GTM,Guatemala,GTM,5,547,5.172397422,29
Dona Chanita Flor de la Pasion,H0148,CORR1094,319.3247334,1.20675139,1,135.9021616,3,58.83397308,10.64366436,120.0671234,699.4686682,128.7023926,1794.077637,1665.375244,1,GTM,Guatemala,GTM,5.9,435,5.172397422,29
Dona Chanita Flor de la Pasion,H0148,CORR1095,319.3247334,1.207729415,1,135.7884271,3,59.24946937,10.64366436,120.0671234,698.7753015,128.7023926,1794.077637,1665.375244,1,GTM,Guatemala,GTM,5.9,435,5.172397422,29
Dona Chanita Flor de la Pasion,H0124,CORR1091,319.3247334,1.330265215,1,123.4512046,3,60.51925587,10.64366436,124.1006927,415.3708962,128.7023926,1881,1752.297607,1,GTM,Guatemala,GTM,9.2,440,5.172397422,29
Dona Chanita Flor de la Pasion,H0134,CORR1092,603.1072489,2.461092741,2,125.9354302,3,61.6185102,10.64366436,99.76811218,409.2421548,128.7023926,1896,1767.297607,1,GTM,Guatemala,GTM,39.4,616,5.172397422,29
La Flor,H0350,CORR0882,1715.315332,7.771926683,3,111.1150981,1,74.47328478,21.63706398,123.9149246,414.6806243,25,1865,1840,2,"CRI, NIC",Costa Rica,CRI,5,607,5.392282091,95
La Flor,H0351,CORR0883,10367.06374,27.89848935,7,187.1493226,2,75.23391865,20.92618561,116.220993,569.2317284,25,1726,1701,2,"CRI, NIC",Costa Rica,CRI,35.2,516.050415,5.392282091,95
La Flor,H0352,CORR0884,12736.94401,32.43948369,7,197.6993144,2,76.1744017,20.92618561,116.220993,626.5963204,25,1783,1758,2,"CRI, NIC",Costa Rica,CRI,29.3,624,5.392282091,95
La Flor,H0353,CORR0885,12050.57316,25.79444704,8,235.2471319,3,75.19579423,20.92618561,136.3749542,639.9351775,25,2215,2190,2,"CRI, NIC",Costa Rica,CRI,169.2,1491.418457,5.392282091,95
La Flor,H0349,CORR0881,7079.741043,49.53801622,4,71.89490053,2,69.04662931,27.39725685,99.46604919,496.1666949,25,1814,1789,2,"CRI, NIC",Costa Rica,CRI,15.9,513.31604,5.392282091,95
Tikal National Park,H0145,CORR2272,31436.10503,46.25653945,9,347.6521467,5,70.22965253,13.84011459,103.5185013,463.1290643,68.06897736,2463,2394.931023,2,"BLZ, GTM",Guatemala,GTM,5,547,5.470433981,109
