"crrdr_d","nCountries","Countries"
"CORR2183",1,"MEX"
"CORR2184",1,"MEX"
"CORR2185",1,"MEX"
"CORR2186",1,"MEX"
"CORR2187",1,"MEX"
"CORR2188",1,"MEX"
"CORR2189",1,"MEX"
"CORR2190",1,"MEX"
"CORR2191",1,"SLV"
"CORR2192",2,"HND, SLV"
"CORR2193",2,"HND, SLV"
"CORR2194",2,"HND, SLV"
"CORR2195",1,"SLV"
"CORR2196",2,"GTM, MEX"
"CORR2197",2,"GTM, MEX"
"CORR2198",2,"GTM, MEX"
"CORR2199",2,"GTM, MEX"
"CORR2200",2,"GTM, MEX"
"CORR2201",1,"CRI"
"CORR2202",1,"CRI"
"CORR2203",1,"CRI"
"CORR2204",1,"CRI"
"CORR2205",1,"CRI"
"CORR2206",1,"CRI"
"CORR2207",1,"CRI"
"CORR2208",1,"CRI"
"CORR2209",1,"CRI"
"CORR2210",1,"CRI"
"CORR2211",1,"PAN"
"CORR2212",1,"PAN"
"CORR2213",1,"PAN"
"CORR2214",1,"PAN"
"CORR2215",1,"PAN"
"CORR2216",2,"HND, SLV"
"CORR2217",1,"SLV"
"CORR2218",2,"HND, SLV"
"CORR2219",2,"HND, SLV"
"CORR2220",2,"HND, SLV"
"CORR2221",1,"SLV"
"CORR2222",2,"GTM, SLV"
"CORR2223",3,"GTM, HND, SLV"
"CORR2224",2,"GTM, SLV"
"CORR2225",3,"GTM, HND, SLV"
"CORR2226",1,"SLV"
"CORR2227",1,"SLV"
"CORR2228",1,"SLV"
"CORR2229",1,"SLV"
"CORR2230",2,"HND, SLV"
"CORR2231",1,"NIC"
"CORR2232",1,"NIC"
"CORR2233",2,"HND, NIC"
"CORR2234",2,"HND, NIC"
"CORR2235",2,"HND, NIC"
"CORR2236",2,"GTM, MEX"
"CORR2237",2,"GTM, MEX"
"CORR2238",2,"GTM, MEX"
"CORR2239",2,"GTM, MEX"
"CORR2240",2,"GTM, MEX"
"CORR2241",2,"GTM, MEX"
"CORR2242",2,"GTM, MEX"
"CORR2243",2,"GTM, MEX"
"CORR2244",2,"GTM, MEX"
"CORR2245",2,"GTM, MEX"
"CORR2246",2,"HND, SLV"
"CORR2247",2,"HND, SLV"
"CORR2248",2,"HND, SLV"
"CORR2249",1,"SLV"
"CORR2250",2,"HND, SLV"
"CORR2251",2,"GTM, MEX"
"CORR2252",2,"GTM, MEX"
"CORR2253",2,"GTM, MEX"
"CORR2254",2,"GTM, MEX"
"CORR2255",2,"GTM, MEX"
"CORR2256",1,"SLV"
"CORR2257",1,"SLV"
"CORR2258",1,"SLV"
"CORR2259",2,"GTM, SLV"
"CORR2260",2,"GTM, SLV"
"CORR2261",1,"SLV"
"CORR2262",1,"SLV"
"CORR2263",1,"SLV"
"CORR2264",1,"SLV"
"CORR2265",1,"SLV"
"CORR2266",1,"SLV"
"CORR2267",2,"HND, SLV"
"CORR2268",2,"HND, SLV"
"CORR2269",2,"HND, SLV"
"CORR2270",2,"HND, SLV"
"CORR2271",2,"BLZ, GTM"
"CORR2272",2,"BLZ, GTM"
"CORR2273",2,"BLZ, GTM"
"CORR2274",2,"BLZ, GTM"
"CORR2275",2,"BLZ, GTM"
"CORR2276",2,"COL, PAN"
"CORR2277",1,"PAN"
"CORR2278",2,"COL, PAN"
"CORR2279",2,"COL, PAN"
"CORR2280",2,"COL, PAN"
"CORR2281",2,"COL, PAN"
"CORR2282",2,"COL, PAN"
"CORR2283",2,"COL, PAN"
"CORR2284",1,"COL"
"CORR2285",1,"COL"
"CORR2286",1,"CRI"
"CORR2287",1,"CRI"
"CORR2288",1,"CRI"
"CORR2289",1,"CRI"
"CORR2290",1,"CRI"
"CORR2291",2,"GTM, MEX"
"CORR2292",2,"GTM, MEX"
"CORR2293",2,"GTM, MEX"
"CORR2294",2,"GTM, MEX"
"CORR2295",2,"GTM, MEX"
"CORR2296",3,"BLZ, GTM, HND"
"CORR2297",2,"BLZ, GTM"
"CORR2298",2,"BLZ, GTM"
"CORR2299",2,"BLZ, GTM"
"CORR2300",2,"BLZ, GTM"
"CORR2301",3,"BLZ, GTM, HND"
"CORR2302",3,"BLZ, GTM, HND"
"CORR2303",3,"BLZ, GTM, HND"
"CORR2304",3,"BLZ, GTM, HND"
"CORR2305",3,"BLZ, GTM, HND"
"CORR2306",4,"BLZ, GTM, HND, MEX"
"CORR2307",4,"BLZ, GTM, HND, MEX"
"CORR2308",4,"BLZ, GTM, HND, MEX"
"CORR2309",4,"BLZ, GTM, HND, MEX"
"CORR2310",4,"BLZ, GTM, HND, MEX"
"CORR2311",4,"BLZ, GTM, HND, MEX"
"CORR2312",4,"BLZ, GTM, HND, MEX"
"CORR2313",4,"BLZ, GTM, HND, MEX"
"CORR2314",4,"BLZ, GTM, HND, MEX"
"CORR2315",4,"BLZ, GTM, HND, MEX"
"CORR2316",3,"BLZ, GTM, HND"
"CORR2317",3,"BLZ, GTM, HND"
"CORR2318",3,"BLZ, GTM, HND"
"CORR2319",3,"BLZ, GTM, HND"
"CORR2320",3,"BLZ, GTM, HND"
"CORR2321",3,"BLZ, GTM, HND"
"CORR2322",3,"BLZ, GTM, HND"
"CORR2323",3,"BLZ, GTM, HND"
"CORR2324",3,"BLZ, GTM, HND"
"CORR2325",3,"BLZ, GTM, HND"
"CORR2326",3,"BLZ, GTM, HND"
"CORR2327",3,"BLZ, GTM, HND"
"CORR2328",3,"BLZ, GTM, HND"
"CORR2329",3,"BLZ, GTM, HND"
"CORR2330",3,"BLZ, GTM, HND"
"CORR2331",3,"BLZ, GTM, HND"
"CORR2332",3,"BLZ, GTM, HND"
"CORR2333",3,"BLZ, GTM, HND"
"CORR2334",3,"BLZ, GTM, HND"
"CORR2335",3,"BLZ, GTM, HND"
"CORR2336",3,"BLZ, GTM, HND"
"CORR2337",3,"BLZ, GTM, HND"
"CORR2338",3,"BLZ, GTM, HND"
"CORR2339",3,"BLZ, GTM, HND"
"CORR2340",3,"BLZ, GTM, HND"
"CORR2341",4,"BLZ, GTM, HND, MEX"
"CORR2342",4,"BLZ, GTM, HND, MEX"
"CORR2343",4,"BLZ, GTM, HND, MEX"
"CORR2344",4,"BLZ, GTM, HND, MEX"
"CORR2345",4,"BLZ, GTM, HND, MEX"
"CORR2346",3,"BLZ, GTM, HND"
"CORR2347",3,"BLZ, GTM, HND"
"CORR2348",3,"BLZ, GTM, HND"
"CORR2349",3,"BLZ, GTM, HND"
"CORR2350",3,"BLZ, GTM, HND"
"CORR2351",3,"BLZ, GTM, HND"
"CORR2352",3,"BLZ, GTM, HND"
"CORR2353",3,"BLZ, GTM, HND"
"CORR2354",3,"BLZ, GTM, HND"
"CORR2355",3,"BLZ, GTM, HND"
"CORR2356",4,"BLZ, GTM, HND, MEX"
"CORR2357",4,"BLZ, GTM, HND, MEX"
"CORR2358",4,"BLZ, GTM, HND, MEX"
"CORR2359",4,"BLZ, GTM, HND, MEX"
"CORR2360",4,"BLZ, GTM, HND, MEX"
"CORR2361",4,"BLZ, GTM, HND, MEX"
"CORR2362",4,"BLZ, GTM, HND, MEX"
"CORR2363",4,"BLZ, GTM, HND, MEX"
"CORR2364",4,"BLZ, GTM, HND, MEX"
"CORR2365",4,"BLZ, GTM, HND, MEX"
"CORR2366",4,"BLZ, GTM, HND, MEX"
"CORR2367",4,"BLZ, GTM, HND, MEX"
"CORR2368",4,"BLZ, GTM, HND, MEX"
"CORR2369",4,"BLZ, GTM, HND, MEX"
"CORR2370",4,"BLZ, GTM, HND, MEX"
"CORR2371",4,"BLZ, GTM, HND, MEX"
"CORR2372",4,"BLZ, GTM, HND, MEX"
"CORR2373",4,"BLZ, GTM, HND, MEX"
"CORR2374",4,"BLZ, GTM, HND, MEX"
"CORR2375",4,"BLZ, GTM, HND, MEX"
"CORR2376",4,"BLZ, GTM, HND, MEX"
"CORR2377",4,"BLZ, GTM, HND, MEX"
"CORR2378",4,"BLZ, GTM, HND, MEX"
"CORR2379",4,"BLZ, GTM, HND, MEX"
"CORR2380",4,"BLZ, GTM, HND, MEX"
"CORR2381",4,"BLZ, GTM, HND, MEX"
"CORR2382",4,"BLZ, GTM, HND, MEX"
"CORR2383",4,"BLZ, GTM, HND, MEX"
"CORR2384",4,"BLZ, GTM, HND, MEX"
"CORR2385",4,"BLZ, GTM, HND, MEX"
"CORR2386",4,"BLZ, GTM, HND, MEX"
"CORR2387",4,"BLZ, GTM, HND, MEX"
"CORR2388",4,"BLZ, GTM, HND, MEX"
"CORR2389",4,"BLZ, GTM, HND, MEX"
"CORR2390",4,"BLZ, GTM, HND, MEX"
"CORR2391",4,"BLZ, GTM, HND, MEX"
"CORR2392",4,"BLZ, GTM, HND, MEX"
"CORR2393",4,"BLZ, GTM, HND, MEX"
"CORR2394",4,"BLZ, GTM, HND, MEX"
"CORR2395",4,"BLZ, GTM, HND, MEX"
"CORR2396",4,"BLZ, GTM, HND, MEX"
"CORR2397",4,"BLZ, GTM, HND, MEX"
"CORR2398",4,"BLZ, GTM, HND, MEX"
"CORR2399",4,"BLZ, GTM, HND, MEX"
"CORR2400",4,"BLZ, GTM, HND, MEX"
"CORR2401",4,"BLZ, GTM, HND, MEX"
"CORR2402",4,"BLZ, GTM, HND, MEX"
"CORR2403",4,"BLZ, GTM, HND, MEX"
"CORR2404",4,"BLZ, GTM, HND, MEX"
"CORR2405",4,"BLZ, GTM, HND, MEX"
"CORR2406",4,"BLZ, GTM, HND, MEX"
"CORR2407",4,"BLZ, GTM, HND, MEX"
"CORR2408",4,"BLZ, GTM, HND, MEX"
"CORR2409",4,"BLZ, GTM, HND, MEX"
"CORR2410",4,"BLZ, GTM, HND, MEX"
"CORR2421",3,"BLZ, GTM, HND"
"CORR2422",3,"BLZ, GTM, HND"
"CORR2423",3,"BLZ, GTM, HND"
"CORR2424",3,"BLZ, GTM, HND"
"CORR2425",3,"BLZ, GTM, HND"
