"ID","MAT_mean","MAT_min","MAT_max","MAT_range","MAP_mean","MAP_min","MAP_max","MAP_range","srtm_mean","srtm_min","srtm_max","srtm_range","ISO3","NAME","ORIG_NAME","WDPAID","WDPA_PID"
1,27.2146730056176,27.0583324432373,27.3166675567627,0.258335113525391,1741.86367445726,1672.68762207031,1809,136.312377929688,7.70155523104199,2,22,20,"SLV","Complejo Barra de Santiago","Complejo Barra de Santiago",555592565,"555592565"
2,27.2560349889548,27.1708335876465,27.4021530151367,0.231319427490234,1778.52284332643,1705.65197753906,1828.21655273438,122.564575195312,9.06988676177067,0,18,18,"GTM","Hawaii","Hawaii",555629254,"555629254"
3,22.3678970336914,22.3678970336914,22.3678970336914,0,1807.41333007812,1807.41333007812,1807.41333007812,0,1041.82594045003,1027,1060,33,"GTM","Laguna del Pino","Laguna del Pino",302101,"302101"
4,14.2552242279053,14.0900745391846,14.4098205566406,0.319746017456055,2009.66616821289,1986.43615722656,2051.69921875,65.2630615234375,2251.45965670072,2216,2284,68,"GTM","Iximché","Iximché",342429,"342429"
5,16.5191204364483,14.847806930542,18.0845184326172,3.2367115020752,1516.17608173077,1438.75842285156,1670.02160644531,231.26318359375,1965.58302795824,1602.2265625,2491,888.7734375,"GTM","Volcán de Pacaya y  Laguna de Calderas","Volcán Pacaya",196,"196"
6,25.9558869600296,25.8876609802246,26.0344047546387,0.146743774414062,2795.14517211914,2726.09497070312,2842.27905273438,116.18408203125,144.976241049264,114,174,60,"GTM","El Rosario","El Rosario",2198,"2198"
7,24.4179068247477,22.9171695709229,25.6084766387939,2.69130706787109,1803.01925455729,1730.89587402344,1899.74670410156,168.850830078125,526.997954327959,226,1012,786,"SLV","El Imposible","El Imposible",12494,"12494"
8,25.6898609479268,24.208625793457,26.1022548675537,1.89362907409668,3680.24967990451,3503.01953125,4151.67333984375,648.65380859375,253.918355870818,163,697,534,"GTM","Laguna Lachuá","Laguna Lachuá",12583,"12583"
9,25.397345670873,23.9519195556641,26.2617607116699,2.30984115600586,2618.88813891311,2276.53833007812,3040,763.461669921875,236.610643058059,55.9303321838379,643,587.069667816162,"GTM","Sierra del Lacandón","Sierra del Lacandón",30605,"30605"
10,19.1816391944885,19.085355758667,19.2426795959473,0.157323837280273,2447.32177734375,2430.3779296875,2460.66137695312,30.283447265625,1339.93046300551,1311,1374,63,"GTM","Las Victorias","Las Victorias",107096,"107096"
11,20.3045112609863,19.7448787689209,20.8427257537842,1.09784698486328,1287.53859863281,1246.22082519531,1330.06066894531,83.83984375,1403.42688767453,1192,1534,342,"GTM","Naciones Unidas","Naciones Unidas",107119,"107119"
12,13.6519384384155,13.6519384384155,13.6519384384155,0,1238.11047363281,1238.11047363281,1238.11047363281,0,2513.98008243336,2363,2599,236,"GTM","Cerro del Baúl","Cerro del Baúl",115070,"115070"
13,16.9532790184021,16.2807922363281,17.3654098510742,1.08461761474609,1538.00311279297,1435.6513671875,1621.85400390625,186.20263671875,2120.06155990006,1981.32019042969,2246.68896484375,265.368774414062,"GTM","Montaña Negra","Montaña Negra",555703712,"555703712"
14,15.2975914695046,14.8246917724609,16.0562057495117,1.23151397705078,1786.943359375,1724.50903320312,1895.17761230469,170.668579101562,2090.31320104082,1687,2304,617,"GTM","Mario Dary Rivera","Mario Dary",2551,"2551"
15,26.4811630379218,26.2801647186279,26.6356201171875,0.35545539855957,1960.70255110288,1771.1103515625,2159.5908203125,388.48046875,62.2888282175508,41,104,63,"GTM","Laguna del Tigre -Río Escondido-","Laguna del Tigre - Río Escondido",115081,"115081"
16,25.6194563865662,25.5288143157959,25.8242263793945,0.295412063598633,2827.40758056641,2748.78100585938,2872.73315429688,123.9521484375,204.412948433946,113,236,123,"GTM","Ceibal","Ceibal",302086,"302086"
17,25.908897226507,25.7526874542236,26.1020545959473,0.349367141723633,3126.75482732599,3036.0703125,3156.57568359375,120.50537109375,181.734313840064,110,223,113,"GTM","Aguateca","Aguateca",12570,"12570"
18,25.8687241528485,25.7482624053955,26.0277729034424,0.279510498046875,3028.71955500422,2988.09887695312,3066.49877929688,78.39990234375,172.770458403272,133.017135620117,217,83.9828643798828,"GTM","Dos Pilas","Dos Pilas",12572,"12572"
19,27.3689253008043,27.2624034881592,27.4444885253906,0.182085037231445,1798.25733411634,1766.32397460938,1827.94897460938,61.625,7.51138391414983,2,17,15,"GTM","Zona de Reserva Para protección especial de la fauna, flora y en general del ecosistema natural y biotopo en el área (MONTERRICO)","Zona de Reserva Para protección especial de la fauna, flora y en general del ecosistema natural y biotopo en el área (MONTERRICO)",12422,"12422"
20,14.9622812906901,13.4428386688232,16.4004344940186,2.95759582519531,2075.91170247396,1911.21008300781,2310.1044921875,398.894409179688,2113.2380374544,1634,2463.52978515625,829.52978515625,"GTM","K'antí Shul","K'antí Shul",302072,"302072"
21,26.0835514068604,26.0671882629395,26.1008644104004,0.0336761474609375,3287.50927734375,3271.21606445312,3300.92797851562,29.7119140625,136.947336938804,126,155,29,"GTM","Doña Chanita Flor de la Pasión","Doña Chanita Flor de la Pasión",302082,"302082"
22,26.0935064951579,26.0667171478271,26.1172771453857,0.0505599975585938,3282.73391384549,3268.00122070312,3302.9833984375,34.982177734375,133.985686382558,119.926254272461,154,34.0737457275391,"GTM","La Cumbre Flor de la Pasión","La Cumbre Flor de la Pasión",302083,"302083"
